EXP,NAME,TYPE,SUBT,RARITY,COLOR,COLORS,MANA,CMC,Legendary,P,T,OBSERVACION,FOIL,,TOTAL,10404,,,SUBTIPO,1491,% SD,,RAREZA,10390,%,,COLOR,10404,%,,COLORS,1744,%,% SD,,MV,10394,%,,Crea/MV,4779,%,% SD,,,
40K,Their Name Is Death,Sorcery,,Rare,Black,,3BBB,6,,,,,,,PROMO,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tomb Blade,Creature,Artifact,Rare,Black,,4BB,6,,5,4,,,,EXT,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Trazyn the Infinite,Creature,Artifact,Rare,Black,,4BB,6,,4,6,,,,InU,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Triarch Praetorian,Creature,Artifact,Uncommon,Black,,1B,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Triarch Stalker,Creature,Artifact,Rare,Black,,3BB,5,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Venomcrawler ,Creature,Artifact,Rare,Black,,3B,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Acolyte Hybrid,Creature,,Uncommon,Red,,2R,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Bloodthirster,Creature,,Rare,Red,,5R,6,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Chaos Terminator Lord,Creature,,Uncommon,Red,,3R,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Dark Apostle,Creature,,Rare,Red,,3R,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Exocrine,Creature,,Rare,Red,,X2R,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Keeper of Secrets,Creature,,Rare,Red,,5R,6,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Khârn the Betrayer,Creature,,Rare,Red,,3R,4,Legendary,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Knight Rampager,Creature,Artifact,Rare,Red,,4R,5,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Let the Galaxy Burn,Sorcery,,Rare,Red,,X5R,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Noise Marine,Creature,,Uncommon,Red,,4R,5,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Screamer-Killer ,Creature,,Rare,Red,,4R,5,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Seeker of Slaanesh,Creature,,Uncommon,Red,,3R,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Aberrant ,Creature,,Uncommon,Green,,X1G,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Biophagus,Creature,,Rare,Green,,1G,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Broodlord,Creature,,Rare,Green,,X3G,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Haruspex ,Creature,,Rare,Green,,3G,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Hierophant Bio-Titan ,Creature,,Rare,Green,,10GG,12,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Hormagaunt Horde ,Creature,,Rare,Green,,XG,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Lictor ,Creature,,Rare,Green,,3G,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Old One Eye ,Creature,,Rare,Green,,5G,6,Legendary,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Termagant Swarm,Creature,,Rare,Green,,XG,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tervigon,Creature,,Rare,Green,,X1G,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Toxicrene,Creature,,Rare,Green,,3G,4,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tyranid Invasion,Sorcery,,Uncommon,Green,,3G,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tyrant Guard,Creature,,Rare,Green,,X2G,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Abaddon the Despoiler ,Creature,,Mythic,Gold,Blue/Black/Red,2UBR,5,Legendary,5,5,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Assault Intercessor,Creature,,Rare,Gold,White/Black,1WB,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,"Be'lakor, the Dark Master",Creature,,Mythic,Gold,Blue/Black/Red,3UBR,6,Legendary,6,5,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Callidus Assassin,Creature,,Rare,Gold,Blue/Black,4UB,6,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Chaos Defiler,Creature,,Rare,Gold,Black/Red,3BR,5,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Chaos Mutation ,Instant,,Rare,Gold,Blue/Red,3UR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Commissar Severina Raine,Creature,,Rare,Gold,White/Black,1WB,3,Legendary,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Company Commander,Creature,,Rare,Gold,White/Black,2WB,4,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Cybernetica Datasmith,Creature,,Rare,Gold,Blue/Black,1UB,3,,0,1,Prueba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Deny the Witch,Instant,,Uncommon,Gold,White/Blue/Black,1WUB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Exalted Flamer of Tzeentch,Creature,,Rare,Gold,Blue/Red,2UR,4,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Exterminatus,Sorcery,,Rare,Gold,White/Black,5WB,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Gargoyle Flock ,Creature,,Rare,Gold,Green/Blue,2GU,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Helbrute,Creature,,Rare,Gold,Black/Red,3BR,5,,5,4,Prueba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Inquisitor Eisenhorn,Creature,,Rare,Gold,Blue/Black,2UB,4,Legendary,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Inquisitor Greyfax,Creature,,Mythic,Gold,White/Blue/Black,1WUB,4,Legendary,3,3,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Kill! Maim! Burn!,Instant,,Rare,Gold,Black/Red,3BR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Lucius the Eternal ,Creature,,Rare,Gold,Black/Red,3BR,5,Legendary,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Magnus the Red,Creature,,Rare,Gold,Blue/Red,3UR,5,Legendary,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Magus Lucea Kane ,Creature,,Mythic,Gold,Green/Blue/Red,1GUR,4,Legendary,1,1,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Malanthrope,Creature,,Rare,Gold,Green/Blue,1GU,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Mawloc,Creature,,Rare,Gold,Red/Green,XRG,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Mutalith Vortex Beast,Creature,,Rare,Gold,Blue/Red,4UR,6,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Pink Horror ,Creature,,Rare,Gold,Blue/Red,3UR,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Ravener,Creature,,Rare,Gold,Green/Blue,XGU,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Sister Hospitaller ,Creature,,Rare,Gold,White/Black,4WB,6,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Sister Repentia ,Creature,,Rare,Gold,White/Black,3WB,5,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,The Flesh Is Weak,Enchantment,,Rare,Gold,White/Blue/Black,2WUB,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,The Horus Heresy ,Enchantment,Saga,Rare,Gold,Blue/Black/Red,3UBR,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Trygon Prime ,Creature,,Uncommon,Gold,Green/Blue,2GU,4,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tyranid Harridan,Creature,,Rare,Gold,Green/Blue,4GU,6,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tyranid Prime,Creature,,Rare,Gold,Green/Blue,1GU,3,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tzaangor Shaman,Creature,,Rare,Gold,Blue/Red,2UR,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Venomthrope,Creature,,Uncommon,Gold,Green/Blue,1GU,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Winged Hive Tyrant ,Creature,,Rare,Gold,Blue/Red,3UR,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Zoanthrope,Creature,,Rare,Gold,Blue/Red,XUR,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Canoptek Scarab Swarm,Creature,,Rare,Artifact,,4,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Canoptek Spyder ,Creature,,Rare,Artifact,,5,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Canoptek Tomb Sentinel,Creature,,Rare,Artifact,,4,4,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Knight Paladin,Artifact,Vehicle,Rare,Artifact,,5,5,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Night Scythe,Artifact,Vehicle,Uncommon,Artifact,,3,3,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Reaver Titan,Artifact,Vehicle,Rare,Artifact,,7,7,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Redemptor Dreadnought,Creature,,Rare,Artifact,,5,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Thunderhawk Gunship,Artifact,Vehicle,Rare,Artifact,,6,6,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40K,Tomb Fortress ,Land,,Rare,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Armageddon,Sorcery,,Rare,White,,3W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Balance,Sorcery,,Rare,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Disenchant,Instant,,Common,White,,1W,2,,,,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Island Sanctuary,Enchantment,,Rare,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Northern Paladin,Creature,,Rare,White,,2WW,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Resurrection,Sorcery,,Uncommon,White,,2WW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Reverse Damage,Instant,,Rare,White,,1WW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Righteousness ,Instant,,Rare,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Serra Angel,Creature,,Uncommon,White,,3WW,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Swords to Plowshares,Instant,,Uncommon,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,White Knight,Creature,,Uncommon,White,,WW,2,,2,2,LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Wrath of God,Sorcery,,Rare,White,,2WW,4,,,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Air Elemental,Creature,,Uncommon,Blue,,3UU,5,,4,4,Otra,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Blue Elemental Blast,Instant,,Uncommon,Blue,,U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Clone,Creature,,Uncommon,Blue,,3U,4,,0,0,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Control Magic,Enchantment,Aura,Rare,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Counterspell,Instant,,Common,Blue,,UU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Creature Bond,Enchantment,Aura,Common,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Mahamoti Djinn,Creature,,Rare,Blue,,4UU,6,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Mana Short,Instant,,Rare,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Power Sink,Instant,,Common,Blue,,XU,1,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Psionic Blast,Instant,,Uncommon,Blue,,2U,3,,,,TSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Spell Blast ,Instant,,Common,Blue,,XU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Steal Artifact ,Enchantment,Aura,Uncommon,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Unsummon,Instant,,Common,Blue,,U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Vesuvan Doppelganger,Creature,,Rare,Blue,,3UU,5,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Animate Dead,Enchantment,Aura,Uncommon,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Black Knight,Creature,,Uncommon,Black,,BB,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Demonic Hordes,Creature,,Rare,Black,,4BBB,7,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Drain Life,Sorcery,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Hypnotic Specter,Creature,,Uncommon,Black,,1BB,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Paralyze,Enchantment,Aura,Common,Black,,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Pestilence,Enchantment,,Common,Black,,2BB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Raise Dead,Sorcery,,Common,Black,,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Royal Assassin,Creature,,Rare,Black,,1BB,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Sengir Vampire,Creature,,Uncommon,Black,,3BB,5,,4,4,TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Sinkhole,Sorcery,,Common,Black,,BB,2,,,,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Terror ,Instant,,Common,Black,,1B,2,,,,MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Weakness,Enchantment,Aura,Common,Black,,B,1,,,,M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Disintegrate,Sorcery,,Common,Red,,XR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Dragon Whelp ,Creature,,Uncommon,Red,,2RR,4,,2,3,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Earthquake,Sorcery,,Rare,Red,,XR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Fireball,Sorcery,,Common,Red,,XR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Fork,Instant,,Rare,Red,,RR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Lightning Bolt,Instant,,Common,Red,,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Manabarbs ,Enchantment,,Rare,Red,,3R,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Red Elemental Blast,Instant,,Common,Red,,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Roc of Kher Ridges,Creature,,Rare,Red,,3R,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Shatter ,Instant,,Common,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Shivan Dragon,Creature,,Rare,Red,,4RR,6,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Smoke ,Enchantment,,Rare,Red,,RR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Stone Rain,Sorcery,,Common,Red,,2R,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Uthden Troll,Creature,,Uncommon,Red,,2R,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Wall of Stone,Creature,,Uncommon,Red,,1RR,3,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Wheel of Fortune,Sorcery,,Rare,Red,,2R,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Cockatrice,Creature,,Rare,Green,,3GG,5,,2,4,TSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Fog,Instant,,Common,Green,,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Force of Nature,Creature,,Rare,Green,,2GGGG,6,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Giant Growth,Instant,,Common,Green,,G,1,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Hurricane ,Sorcery,,Uncommon,Green,,XG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Kudzu,Enchantment,Aura,Rare,Green,,1GG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
